PRODUCT CODE,PRODUCT TITLE,BRAND,PRODUCT TYPE,GTIN,PRICE
GJ20232,Purell ADX-12 Dispenser 1200ml White 8820-06,Purell,Cleaning Products,10073852023241,0.00
GJ20320,Gojo LTX-12 Hand Wash Dispenser Black/Chrome 1919-04,Gojo,Cleaning Products,10073852032007,0.00
DEB02025,Deb Stoko Cleanse Antimicrobial Dispenser 1 Litre ANT1LDSEN,Deb,Sanitary Dispensers,5010424020251,0.02
DEB01072,Deb Stoko Proline Soap Dispenser 1 Litre White WHB1LDS,Deb,Cleaning Products,5010424010726,0.02
DEB03404,Deb Cutan Foaming Hand Sanitiser Dispenser 1 Litre PROBO1SA,Deb,Sanitary Dispensers,5010424034043,0.02
DEB03403,Deb Cutan Gentle Hand Wash Dispenser 1 Litre PROBO1HW,Deb,Sanitary Dispensers,5010424034036,0.02
DEB03405,Deb Cutan Moisturising Cream Dispenser 1 Litre White/Green PROB01HCMC,Deb,Sanitary Dispensers,5010424034050,0.02
RY06581,Safewrap Antibacterial Tie Handle Dog Poo Bags (Pack of 60) RY11532-S,Safewrap,Cleaning Equipment,5011581065819,0.42
PP18314,Pukka Party Flexible Drinking Straws Assorted (Pack of 24) PTY580,Pukka Party,Catering Sundries,5057183183148,0.45
PP18308,Pukka Party Striped Drinking Straws Assorted (Pack of 50) PTY578,Pukka Party,Catering Sundries,5057183183087,0.47
BC70501,Bic 1 Disposable Razor Sensitive (Pack of 5) 952888,Bic,Restroom Accessories,3086125705010,0.53
AU32196,Cocktail Napkin 240x240mm 2-Ply White (Pack of 100) 32196,BulkySoft,Table/Food Service,8018426322042,0.61
SPX90033,Spontex Brilliant Scourer Pad Silver Non-scratch 31600328,Spontex,Cleaning Equipment,5010071900333,0.67
UTP51314,Economy Disposable Birch Wood Teaspoon 11cm (Pack of 100) F90223-0,Unbranded,Catering Utensils,5056645513141,0.73
UTP51311,Economy Disposable Birch Wood Knife 16cm (Pack of 100) F90220-0,Unbranded,Catering Utensils,5056645513110,0.78
FS159058,5 Star Facilities Hygiene Couch Rolls 2-Ply 130 Sheets 250mmx40m Blue,5 Star Facilities,Sanitary Refills,5018206654670,0.85
AG16108,Compost Liners Green,Addis,Cleaning Equipment,5010303161082,0.87
BC39505,Bic 1 Disposable Razor Sensitive (Pack of 12) 928770,Bic,Restroom Accessories,3086123395053,0.87
